Image number,Dengue fever risk,Probability,Date/Time,Latitude,Longitude
0150,High risk,0.99609375,2023-04-24 01:32:39.335876,7.188427811408454,176.06050341186275
0151,High risk,0.99609375,2023-04-24 01:32:49.381989,6.678099684383626,176.42743893609807
0152,High risk,0.99609375,2023-04-24 01:32:59.708087,6.1531924867463905,176.80371646518216
0153,High risk,0.97265625,2023-04-24 01:33:09.386611,5.660886257905922,177.15565709938542
0154,High risk,0.99609375,2023-04-24 01:33:19.455720,5.148439902347801,177.52108691077225
0155,High risk,0.96484375,2023-04-24 01:33:29.345799,4.644835924244592,177.87939119339205
0156,High risk,0.984375,2023-04-24 01:33:39.717296,4.116479249402829,178.25452253261628
0157,High risk,0.99609375,2023-04-24 01:33:49.567455,3.614468731379499,178.61028825586453
0158,High risk,0.99609375,2023-04-24 01:33:59.355479,3.1154443103613145,178.96338053083727
0159,High risk,0.99609375,2023-04-24 01:34:08.480423,2.6500979767506476,179.29221127218358
0160,No risk,0.66015625,2023-04-24 01:34:18.190846,2.1547782312275396,179.64183607956213
0161,No risk,0.859375,2023-04-24 01:34:27.993378,1.6546555926137356,179.9945218751524
0162,High risk,0.99609375,2023-04-24 01:34:37.991224,1.1444769728449482,-179.64596200497314
0163,High risk,0.81640625,2023-04-24 01:34:47.890110,0.6393029180443877,-179.29015286132633
0164,High risk,0.99609375,2023-04-24 01:34:57.785543,0.13428704634290875,-178.93455528106915
0165,High risk,0.99609375,2023-04-24 01:35:08.307944,-0.40274548905022384,-178.5564353103333
0166,High risk,0.98828125,2023-04-24 01:35:19.465630,-0.9721606742026747,-178.15543573313033
0167,High risk,0.96484375,2023-04-24 01:35:29.767465,-1.4978330167092375,-177.78507289789405
0168,High risk,0.99609375,2023-04-24 01:35:39.443837,-1.9915164233755855,-177.43701901303822
0169,High risk,0.91796875,2023-04-24 01:35:49.456025,-2.5022320014724633,-177.07664342651637
0170,High risk,0.99609375,2023-04-24 01:35:59.469117,-3.0128557878899143,-176.7159322802715
0171,High risk,0.99609375,2023-04-24 01:36:09.328085,-3.515467538507272,-176.3604097664378
0172,High risk,0.99609375,2023-04-24 01:36:18.683898,-3.992252877075039,-176.0226511916279
0173,High risk,0.99609375,2023-04-24 01:36:28.706389,-4.502810047637738,-175.66034529351205
0174,High risk,0.99609375,2023-04-24 01:36:38.519891,-5.002496899536689,-175.30505018564708
0175,High risk,0.99609375,2023-04-24 01:36:48.291745,-5.499804689884972,-174.95067665755096
0176,High risk,0.99609375,2023-04-24 01:36:58.098856,-5.998639574660977,-174.59436349305398
0177,High risk,0.99609375,2023-04-24 01:37:08.167931,-6.510473670667647,-174.22779420362934
0178,High risk,0.99609375,2023-04-24 01:37:18.354853,-7.027941629748595,-173.85610113683285
0179,High risk,0.9921875,2023-04-24 01:37:28.411196,-7.538407096169222,-173.48827558820523
0180,High risk,0.99609375,2023-04-24 01:37:38.208057,-8.035296677545334,-173.1290378911511
0181,High risk,0.99609375,2023-04-24 01:37:47.857115,-8.524301018464698,-172.7742683228308
0182,High risk,0.99609375,2023-04-24 01:37:57.713934,-9.023393996496992,-172.41083394095412
0183,High risk,0.99609375,2023-04-24 01:38:07.459631,-9.516400596341985,-172.0504120371642
0184,High risk,0.99609375,2023-04-24 01:38:17.736606,-10.035764985799895,-171.6690999622208
0185,High risk,0.99609375,2023-04-24 01:38:27.629412,-10.535166345666592,-171.30078285179349
0186,High risk,0.98828125,2023-04-24 01:38:37.839893,-11.050031177872787,-170.91925660852118
0187,High risk,0.94921875,2023-04-24 01:38:47.613018,-11.542255041697114,-170.55270075705425
0188,High risk,0.99609375,2023-04-24 01:38:57.850282,-12.057222522367475,-170.1672156770631
0189,High risk,0.99609375,2023-04-24 01:39:07.722701,-12.553171091478282,-169.79394282792
0190,Low risk,0.9296875,2023-04-24 01:39:17.443596,-13.040859269039315,-169.42485360440796
